id	title	author	gender	year-birth	year-death	year-worldcat	year-ref	language	translation	downloads	subjects	shortauthor	shorttitle	worldcaturl	Western	Adventure	Love	War	Humour	Sea	Pulp fiction	SciFi & Fantasy	General fiction	Mystery & Detective stories	Juvenile	Translations
PG66328	Planet of Dread	Swain, Dwight V.		1915.0	1992.0	2012.0	1964	['en']		228	{'Life on other planets -- Fiction', 'Adventure stories', 'Science fiction'}	Dwight+Swain	Planet+Dread	https://www.worldcat.org/search?q=Dwight+Swain+Planet+Dread&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG66539	The Terror Out of Space	Swain, Dwight V.		1915.0	1992.0	2010.0	1964	['en']		1407	{'Man-woman relationships -- Fiction', 'Diseases -- Fiction', 'Science fiction', 'Adventure stories', 'Human-alien encounters -- Fiction'}	Dwight+Swain	Terror+Space	https://www.worldcat.org/search?q=Dwight+Swain+Terror+Space&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG65394	Battle Out of Time	Swain, Dwight V.		1915.0	1992.0	1906.0	1964	['en']		46	{'Adventure stories', 'Time travel -- Fiction', 'Mythology -- Fiction', 'Science fiction'}	Dwight+Swain	Battle+Time	https://www.worldcat.org/search?q=Dwight+Swain+Battle+Time&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG61288	The Real Thing	Teichner, Albert				1964.0	1964	['en']		7	{'Art -- Forgeries -- Fiction', 'Counterfeits and counterfeiting -- Fiction', 'Short stories', 'Science fiction', 'Collectors and collecting -- Fiction'}	Albert+Teichner	Real+Thing	https://www.worldcat.org/search?q=Albert+Teichner+Real+Thing&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG32484	Moon Glow	Vandenburg, G. L.				1964.0	1964	['en']		17	{'Short stories', 'Space flight to the moon -- Fiction', 'Science fiction'}	Vandenburg	Moon+Glow	https://www.worldcat.org/search?q=Vandenburg+Moon+Glow&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG50868	The Highest Mountain	Walton, Bryce		1918.0	1988.0	1964.0	1964	['en']		14	{'Short stories', 'Mars (Planet) -- Fiction', 'Science fiction'}	Bryce+Walton	Highest+Mountain	https://www.worldcat.org/search?q=Bryce+Walton+Highest+Mountain&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG30086	Has Anyone Here Seen Kelly?	Walton, Bryce		1918.0	1988.0	1964.0	1964	['en']		16	{'Short stories', 'Science fiction'}	Bryce+Walton	Anyone+Here	https://www.worldcat.org/search?q=Bryce+Walton+Anyone+Here&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG62267	The Man From Siykul	Wilson, Richard		1920.0	1987.0		1964	['en']		10	{'Husband and wife -- Fiction', 'Space travelers -- Fiction', 'Science fiction', 'Adventure stories', 'Human-alien encounters -- Fiction'}	Richard+Wilson	From+Siykul	https://www.worldcat.org/search?q=Richard+Wilson+From+Siykul&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG64073	Dateline: Mars	Wilson, Richard		1920.0	1987.0		1964	['en']		17	{'Martians -- Fiction', 'Journalists -- Fiction', 'Political fiction', 'Short stories', 'Science fiction', 'Mars (Planet) -- Fiction'}	Richard+Wilson	Dateline+Mars	https://www.worldcat.org/search?q=Richard+Wilson+Dateline+Mars&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	1	0	0	0
PG51759	Traveling Companion Wanted	Wilson, Richard		1920.0	1987.0	2011.0	1964	['en']		21	{'Adventure stories', 'Underground areas -- Fiction', 'Short stories', 'Science fiction', 'Astronauts -- Fiction'}	Richard+Wilson	Traveling+Companion	https://www.worldcat.org/search?q=Richard+Wilson+Traveling+Companion&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG31392	The Inhabited	Wilson, Richard		1920.0	1987.0	2006.0	1964	['en']		18	{'Short stories', 'Science fiction', 'Human-alien encounters -- Fiction'}	Richard+Wilson	Inhabited	https://www.worldcat.org/search?q=Richard+Wilson+Inhabited&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG30063	Double Take	Wilson, Richard		1920.0	1987.0	2009.0	1964	['en']		16	{'Short stories', 'Science fiction'}	Richard+Wilson	Double+Take	https://www.worldcat.org/search?q=Richard+Wilson+Double+Take&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG42111	And Then the Town Took Off	Wilson, Richard		1920.0	1987.0	2006.0	1964	['en']		48	{'Extraterrestrial beings -- Fiction', 'Ohio -- Fiction', 'Science fiction', 'Human-alien encounters -- Fiction'}	Richard+Wilson	Then+Town	https://www.worldcat.org/search?q=Richard+Wilson+Then+Town&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG32619	Back to Julie	Wilson, Richard		1920.0	1987.0	2008.0	1964	['en']		16	{'Short stories', 'Science fiction'}	Richard+Wilson	Back+Julie	https://www.worldcat.org/search?q=Richard+Wilson+Back+Julie&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG34682	The Secret Pact	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0		1964	['en']		24	{'Mystery and detective stories', 'Adventure and adventurers -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Parker, Penny (Fictitious character) -- Juvenile fiction', 'Women detectives -- Juvenile fiction', 'Arson -- Juvenile fiction'}	Mildred+Wirt	Secret+Pact	https://www.worldcat.org/search?q=Mildred+Wirt+Secret+Pact&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	1	1	0
PG40033	The Missing Formula: Madge Sterling Series, #1	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0	2012.0	1964	['en']		35	{'Canada -- Juvenile fiction', 'Mystery and detective stories', 'Scientists -- Juvenile fiction', 'Vacations -- Juvenile fiction', 'Sterling, Madge (Fictitious character) -- Juvenile fiction', 'Thieves -- Juvenile fiction', 'Adventure stories', 'Women detectives -- Juvenile fiction'}	Mildred+Wirt	Missing+Formula	https://www.worldcat.org/search?q=Mildred+Wirt+Missing+Formula&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	0	0	1	0	0
PG40041	The Secret of the Sundial: Madge Sterling Series, #3	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0	2012.0	1964	['en']		32	{'Mystery and detective stories', 'Inheritance and succession -- Juvenile fiction', 'Jewel thieves -- Juvenile fiction', 'Sterling, Madge (Fictitious character) -- Juvenile fiction', 'Adventure stories', 'Women detectives -- Juvenile fiction'}	Mildred+Wirt	Secret+Sundial	https://www.worldcat.org/search?q=Mildred+Wirt+Secret+Sundial&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	0	0	1	0	0
PG34592	Behind the Green Door	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0		1964	['en']		107	{'Mystery and detective stories', 'Adventure and adventurers -- Juvenile fiction', 'Parker, Penny (Fictitious character) -- Juvenile fiction', 'Gangsters -- Juvenile fiction', 'Women in journalism -- Juvenile fiction', 'Women detectives -- Juvenile fiction'}	Mildred+Wirt	Behind+Green	https://www.worldcat.org/search?q=Mildred+Wirt+Behind+Green&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	1	1	0
PG34591	Clue of the Silken Ladder	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0		1964	['en']		31	{'Mystery and detective stories', 'Adventure and adventurers -- Juvenile fiction', 'Parker, Penny (Fictitious character) -- Juvenile fiction', 'Gangsters -- Juvenile fiction', 'Women detectives -- Juvenile fiction'}	Mildred+Wirt	Clue+Silken	https://www.worldcat.org/search?q=Mildred+Wirt+Clue+Silken&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	1	1	0
PG34831	Guilt of the Brass Thieves	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0		1964	['en']		39	{'Mystery and detective stories', 'Adventure and adventurers -- Juvenile fiction', 'Parker, Penny (Fictitious character) -- Juvenile fiction', 'Thieves -- Juvenile fiction', 'Women detectives -- Juvenile fiction'}	Mildred+Wirt	Guilt+Brass	https://www.worldcat.org/search?q=Mildred+Wirt+Guilt+Brass&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	1	1	0
PG35082	Saboteurs on the River	Wirt, Mildred A. (Mildred Augustine)		1905.0	2002.0		1964	['en']		58	{'Mystery and detective stories', 'Adventure and adventurers -- Juvenile fiction', 'Women detectives -- Juvenile fiction', 'Parker, Penny (Fictitious character) -- Juvenile fiction'}	Mildred+Wirt	Saboteurs+River	https://www.worldcat.org/search?q=Mildred+Wirt+Saboteurs+River&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	1	1	0
