,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
PG10165,11.48216639037329,13.740645797622498,9.616294016330919,62.47591095987799,16.269518605532728,48.340153379937625,13.33488795289958,5.701044826423997,5.131768699945357,4.5029511520959815,1.3713563229489796,27.923491742500843,5934.0,0.07610834168185494,0.2817660936973374,746130,227231,165698,12611,5934,1,33830,21127,39318,5031,2844,368,1521,883,2822,145,756,243
PG10201,3.3295617192983293,4.344287503636895,6.481254883818838,92.2995650515534,7.5767352152232155,26.85294253245865,8.020932462362891,1.7778866888845324,3.4690579519919647,4.214158106297454,1.2116602980828082,11.851205645951774,10202.0,0.08624882139844177,0.34699078612036854,509517,146497,120906,10428,10202,1,18138,8573,22062,3518,1451,674,2814,771,955,278,781,160
PG10210,5.305470210701124,6.4734917834158665,7.3089776225427805,85.12946184865764,9.560113479378126,32.41936766791096,9.200263139617416,2.6256853297890017,4.086952044593717,4.249234008949724,1.2492866543827323,15.779199202525337,6019.0,0.08614898657541459,0.42631666389765743,403571,118651,94975,8182,6019,1,15804,7713,19875,3307,1442,158,1796,286,806,160,531,134
PG10212,12.602077732142487,15.86307579610456,6.568268081936019,71.47588365177066,17.06985642159515,48.77675587930833,10.639681770235658,4.232839838492597,4.015893103606081,3.9386018455351692,1.1502639043481384,37.48452220726783,1486.0,0.09611863128792503,0.2503364737550471,219388,64072,55702,5354,1486,1,6290,2891,7608,1674,759,31,409,61,279,66,323,41
PG10213,4.567552861140857,5.840493530741902,6.73842921445781,89.64050424002653,8.52933686161772,29.013316500574142,8.246990894061224,2.0974604440898816,3.4602571114770804,4.161296193579699,1.2012150731470568,15.341576917963037,7521.0,0.07830375095333841,0.2957053583300093,480147,138601,115384,9035,7521,1,15775,6902,19725,3489,1360,679,2294,661,635,161,381,187
PG10221,6.149914584032665,8.000722433834252,7.179673526499613,85.93412605705817,10.472060727124594,33.532677447099516,9.21074314192531,2.729088085200799,3.450853186397555,4.164683010636013,1.1935731805183503,19.63013090747726,4507.0,0.10572717100132244,0.36875970712225425,368462,105599,88473,9354,4507,1,12300,5795,13880,3182,1423,170,1455,283,747,108,450,64
PG10234,5.786976677084191,7.208888771196381,7.857617877785298,82.96599355211607,9.582642380835713,33.12018784386049,9.074765927931198,2.742334204896601,3.950289800210449,4.328560934506748,1.2661788641306697,16.502733539339197,4207.0,0.13382401659296816,0.47777513667696697,300519,87907,69427,9291,4207,1,11537,5175,13770,2112,913,157,925,251,540,70,459,55
PG1026,5.151690200150611,6.3949168759773265,6.173556053471113,89.7938013422218,9.817185491847448,32.15300817606854,9.006414541455047,2.5555555555555554,3.793099789202878,4.020260361437629,1.1701599620964285,17.778981147212193,2493.0,0.11057464521805835,0.3433614119534697,178190,51865,44323,4901,2493,1,6371,2998,8172,1455,685,13,1121,161,310,47,118,66
PG10268,4.847092741297995,5.878039211700148,6.285009955868748,89.3970392963769,9.320859257476961,29.63838812952001,8.844332285641805,2.17325618772099,2.92751164290185,4.06432690982816,1.192232742160896,16.33011893281903,3111.0,0.10219868905379603,0.73224043715847,206480,60569,50803,5192,3111,1,6761,3542,6813,1515,903,134,473,141,377,59,105,53
PG1027,3.2406428455041123,4.276095136772657,6.323612490879231,93.2470997742675,7.359028775255012,26.221645067562733,7.794641838241039,1.7071524966261808,3.4083294193834326,4.181201411985554,1.1983717276418617,12.025272972641394,8151.0,0.08673917035646514,0.3167709483498957,409833,117462,98018,8502,8151,1,13915,6246,17455,2969,954,445,2278,626,617,209,599,164
PG103,6.736923544459174,8.659722094827014,8.322866987565313,80.67817286671301,11.407244223107469,38.93309786930771,10.35751521444272,3.787663445139284,4.734888043330948,4.367024929093895,1.2627556351694282,19.04206935758954,3518.0,0.1135393342289894,0.39397384877771463,292547,84592,66990,7606,3518,1,13325,6348,16081,2350,831,125,615,318,575,70,523,83
PG10329,3.5077952921412,4.518064926777491,5.77342631580747,94.72341696522176,6.490721051226453,23.152824780397594,6.098386676965934,1.2847619047619048,1.957256767114011,4.030425270067004,1.1580746615616027,13.92952380952381,1050.0,0.10542868863667441,0.5076190476190476,58949,16938,14626,1542,1050,1,1349,336,1173,333,267,5,267,38,4,31,76,9
PG1032,7.648776775726596,9.315788242209571,8.427188127481305,76.46429650274072,12.0502737360946,37.72282767938063,10.725999968604333,3.5354691075514872,3.9375775860806566,4.367823201934431,1.2969127818703257,20.346681922196797,874.0,0.1893381319237474,0.4462242562929062,77673,23063,17783,3367,874,1,3090,1739,3298,605,284,32,247,48,209,34,45,30
PG10330,8.233204061119029,10.057572345647223,8.879018944893652,73.794398811801,12.331446739656034,40.081676882444235,10.82543376197276,4.00291156132476,4.174867823154932,4.434710705967852,1.3182320189066854,21.200169841077276,8243.0,0.06354683467522731,0.26106999878684944,774979,230365,174753,11105,8243,1,32996,16826,34567,5685,2411,1307,1839,979,1763,260,489,258
PG1033,8.962569550659335,11.325649909534057,7.865423654989463,76.67900342784827,13.249556891787472,41.268656811337976,10.545338077040192,3.995475113122172,4.296777099557051,4.220344342937456,1.2294799718903724,25.755656108597286,1105.0,0.18120168657765284,0.38823529411764707,120111,34991,28460,5157,1105,1,4415,2097,5442,917,319,33,286,61,191,52,110,33
